layer,pct_id,pct_name,veg_class,veg_form,area_ha,polygon_count
rainforest_extant,3036,South Coast Warm Temperate-Subtropical Rainforest,Subtropical Rainforests,Rainforests,1582.861992379952,355
rainforest_extant,3047,Sydney Montane Basalt Rainforest,Southern Warm Temperate Rainforests,Rainforests,1572.4170011235433,1476
rainforest_extant,3028,Illawarra Escarpment Warm Temperate Rainforest,Northern Warm Temperate Rainforests,Rainforests,1129.4337828324362,174
rainforest_extant,3077,Illawarra Complex Dry Rainforest,Dry Rainforests,Rainforests,323.1444232552786,166
rainforest_extant,3013,Illawarra Lowland Subtropical Rainforest,Subtropical Rainforests,Rainforests,244.1950727759047,151
rainforest_extant,3056,Central Eastern Ranges Riparian Dry Rainforest,Dry Rainforests,Rainforests,189.31336711972827,127
rainforest_extant,3106,South Coast Grey Myrtle Dry Rainforest,Dry Rainforests,Rainforests,4.874758147161782,2
rainforest_extant,4106,Illawarra Escarpment Cool Temperate Rainforest,Cool Temperate Rainforests,Rainforests,3.025042075252497,6
rainforest_extant,3134,Illawarra Seacliffs Littoral Rainforest,Littoral Rainforests,Rainforests,2.1310825760879792,2
rainforest_extant,3037,Sydney Basin Warm Temperate Rainforest,Northern Warm Temperate Rainforests,Rainforests,1.9108973391465605,3
rainforest_extant,3041,Sydney Sandstone Coachwood-Grey Myrtle Rainforest,Northern Warm Temperate Rainforests,Rainforests,1.4926043969489804,1
rainforest_extant,3045,South Coast Temperate Gully Rainforest,Southern Warm Temperate Rainforests,Rainforests,0.025043747563463874,1
wet_sclerophyll_extant,3223,Southern Highlands Shale-Basalt Wet Forest,Southern Escarpment Wet Sclerophyll Forests,Wet Sclerophyll Forests (Shrubby sub-formation),3697.63362853419,2584
wet_sclerophyll_extant,3213,Illawarra Southern Escarpment Wet Forest,Southern Escarpment Wet Sclerophyll Forests,Wet Sclerophyll Forests (Shrubby sub-formation),3178.6095749718256,611
wet_sclerophyll_extant,3153,Illawarra Escarpment Bangalay x Blue Gum Wet Forest,North Coast Wet Sclerophyll Forests,Wet Sclerophyll Forests (Shrubby sub-formation),1352.3541612346746,315
