scientificName,taxon_group,vernacularName,stateConservation,countryConservation,n_records,year_min,year_max,is_threatened,is_sensitive
Pteropus poliocephalus,Mammalia,Grey-headed Flying-fox,Vulnerable,Vulnerable,8,2013.0,2018.0,True,False
Phascolarctos cinereus,Mammalia,Koala,Endangered,Endangered,5,2015.0,2020.0,True,False
Dasyurus maculatus,Mammalia,Spotted-tailed Quoll,Vulnerable,Endangered,4,1980.0,2004.0,True,False
Persicaria elatior,Flora,Tall Knotweed,Vulnerable,Vulnerable,1,1969.0,1969.0,True,False
Petauroides volans,Mammalia,Southern Greater Glider,Endangered,Endangered,1,2016.0,2016.0,True,False
Petroica phoenicea,Aves,Flame Robin,Vulnerable,Not Listed,1,1989.0,1989.0,True,False
Vombatus ursinus,Mammalia,Bare-nosed Wombat,Not Listed,Not Listed,240,1992.0,2025.0,False,False
Crinia signifera,Amphibia,Common Eastern Froglet,Not Listed,Not Listed,144,2003.0,2023.0,False,False
Litoria verreauxii,Amphibia,Verreaux's Frog,Not Listed,Not Listed,77,2003.0,2023.0,False,False
Limnodynastes peronii,Amphibia,Brown-striped Frog,Not Listed,Not Listed,69,2018.0,2023.0,False,False
Pseudocheirus peregrinus,Mammalia,Common Ringtail Possum,Not Listed,Not Listed,68,2003.0,2025.0,False,False
Platycercus elegans,Aves,Crimson Rosella,Not Listed,Not Listed,50,1992.0,2025.0,False,False
Macropus giganteus,Mammalia,Eastern Grey Kangaroo,Not Listed,Not Listed,49,2013.0,2024.0,False,False
Gymnorhina tibicen,Aves,Australian Magpie,Not Listed,Not Listed,31,1992.0,2025.0,False,False
Tachyglossus aculeatus,Mammalia,Short-beaked Echidna,Not Listed,Not Listed,28,1980.0,2024.0,False,False
Wallabia bicolor,Mammalia,Swamp Wallaby,Not Listed,Not Listed,27,2013.0,2025.0,False,False
Doryphora sassafras,Flora,Sassafras,Not Listed,Not Listed,26,1966.0,2023.0,False,False
Pyrrosia rupestris,Flora,Rock Felt Fern,Not Listed,Not Listed,25,1952.0,2023.0,False,False
Eolophus roseicapilla,Aves,Galah,Not Listed,Not Listed,24,2003.0,2025.0,False,False
Pittosporum multiflorum,Flora,Orange Thorn,Not Listed,Not Listed,23,1970.0,2023.0,False,False
Eustrephus latifolius,Flora,Wombat Berry,Not Listed,Not Listed,21,1970.0,2023.0,False,False
Geitonoplesium cymosum,Flora,Scrambling Lily,Not Listed,Not Listed,21,1970.0,2016.0,False,False
Melicytus dentatus,Flora,Tree Violet,Not Listed,Not Listed,21,1970.0,2023.0,False,False
Trichosurus vulpecula,Mammalia,Common Brushtail Possum,Not Listed,Not Listed,21,2012.0,2025.0,False,False
Dacelo novaeguineae,Aves,Laughing Kookaburra,Not Listed,Not Listed,20,1992.0,2025.0,False,False
Marsdenia rostrata,Flora,Milk Vine,Not Listed,Not Listed,20,1970.0,2016.0,False,False
Smilax australis,Flora,Lawyer Vine,Not Listed,Not Listed,20,1966.0,2023.0,False,False
Acacia melanoxylon,Flora,Blackwood,Not Listed,Not Listed,19,1963.0,2023.0,False,False
Alisterus scapularis,Aves,Australian King-Parrot,Not Listed,Not Listed,19,1992.0,2024.0,False,False
Tiliqua scincoides,Reptilia,Eastern Blue-tongue,Not Listed,Not Listed,19,1992.0,2025.0,False,False
Austrelaps ramsayi,Reptilia,Highland Copperhead,Not Listed,Not Listed,18,2003.0,2021.0,False,False
Gymnostachys anceps,Flora,Settler's Twine,Not Listed,Not Listed,18,1970.0,2016.0,False,False
Ptilonorhynchus violaceus,Aves,Satin Bowerbird,Not Listed,Not Listed,18,1992.0,2025.0,False,False
Lastreopsis microsora subsp. microsora,Flora,Creeping Shield Fern,Not Listed,Not Listed,17,1970.0,2010.0,False,False
Macropus sp.,Mammalia,kangaroo / wallaby,Not Listed,Not Listed,17,2012.0,2022.0,False,False
Microsorum scandens,Flora,Fragrant Fern,Not Listed,Not Listed,17,1970.0,2016.0,False,False
Pittosporum undulatum,Flora,Sweet Pittosporum,Not Listed,Not Listed,17,1970.0,2023.0,False,False
Acmena smithii,Flora,Lilly Pilly,Not Listed,Not Listed,16,1970.0,2016.0,False,False
Pandorea pandorana,Flora,Wonga Wonga Vine,Not Listed,Not Listed,16,1970.0,2016.0,False,False
Pennantia cunninghamii,Flora,Brown Beech,Not Listed,Not Listed,16,1919.0,2016.0,False,False
Asplenium flabellifolium,Flora,Necklace Fern,Not Listed,Not Listed,15,1970.0,2016.0,False,False
Celastrus australis,Flora,Staff Climber,Not Listed,Not Listed,15,1970.0,2016.0,False,False
Litoria quiritatus,Amphibia,Screaming Tree Frog,Not Listed,Not Listed,15,2017.0,2023.0,False,False
Parsonsia brownii,Flora,Mountain Silkpod,Not Listed,Not Listed,15,1974.0,2019.0,False,False
Aphanopetalum resinosum,Flora,Gum Vine,Not Listed,Not Listed,14,1970.0,2007.0,False,False
Platycercus sp.,Aves,Unidentified Rosella,Not Listed,Not Listed,14,2013.0,2024.0,False,False
Polyosma cunninghamii,Flora,Featherwood,Not Listed,Not Listed,14,1970.0,2010.0,False,False
Cacatua galerita,Aves,Sulphur-crested Cockatoo,Not Listed,Not Listed,13,2003.0,2025.0,False,False
Myrsine howittiana,Flora,Brush Muttonwood,Not Listed,Not Listed,13,1970.0,2001.0,False,False
Platycercus eximius,Aves,Eastern Rosella,Not Listed,Not Listed,13,2013.0,2024.0,False,False
Tasmannia insipida,Flora,Brush Pepperbush,Not Listed,Not Listed,13,1970.0,2010.0,False,False
Alectryon subcinereus,Flora,Wild Quince,Not Listed,Not Listed,12,1970.0,2007.0,False,False
Arthropteris tenella,Flora,,Not Listed,Not Listed,12,1970.0,2007.0,False,False
Ceratopetalum apetalum,Flora,Coachwood,Not Listed,Not Listed,12,1970.0,2016.0,False,False
Dicksonia antarctica,Flora,Soft Treefern,Not Listed,Not Listed,12,1970.0,2016.0,False,False
Pellaea falcata,Flora,Sickle Fern,Not Listed,Not Listed,12,1986.0,2016.0,False,False
Sambucus australasica,Flora,Native Elderberry,Not Listed,Not Listed,12,1967.0,2010.0,False,False
Strepera graculina,Aves,Pied Currawong,Not Listed,Not Listed,12,1992.0,2025.0,False,False
Hibbertia scandens,Flora,Climbing Guinea Flower,Not Listed,Not Listed,11,1970.0,2016.0,False,False
Ligustrum sinense,Flora,Small-leaved Privet,Not Listed,Not Listed,11,1970.0,2023.0,False,False
Psophodes olivaceus,Aves,Eastern Whipbird,Not Listed,Not Listed,11,1992.0,2023.0,False,False
Quintinia sieberi,Flora,Possumwood,Not Listed,Not Listed,11,1970.0,2010.0,False,False
Urtica incisa,Flora,Stinging Nettle,Not Listed,Not Listed,11,1970.0,2010.0,False,False
Viola hederacea,Flora,Ivy-leaved Violet,Not Listed,Not Listed,11,1990.0,2010.0,False,False
Vulpes vulpes,Mammalia,Fox,Not Listed,Not Listed,11,2004.0,2022.0,False,False
Ilex aquifolium,Flora,English Holly,Not Listed,Not Listed,10,1970.0,2023.0,False,False
Limnodynastes tasmaniensis,Amphibia,Spotted Grass Frog,Not Listed,Not Listed,10,2019.0,2022.0,False,False
Microchiroptera suborder,Mammalia,Unidentified Microbat,Not Listed,Not Listed,10,2013.0,2024.0,False,False
Notelaea venosa,Flora,Veined Mock-olive,Not Listed,Not Listed,10,1970.0,2016.0,False,False
Sarcopetalum harveyanum,Flora,Pearl Vine,Not Listed,Not Listed,10,1989.0,2016.0,False,False
Solanum aviculare,Flora,Kangaroo Apple,Not Listed,Not Listed,10,1970.0,2010.0,False,False
Solanum pungetium,Flora,Eastern Nightshade,Not Listed,Not Listed,10,1990.0,2010.0,False,False
Bird sp.,Aves,Unidentified Bird,Not Listed,Not Listed,9,2012.0,2025.0,False,False
Chenonetta jubata,Aves,Australian Wood Duck,Not Listed,Not Listed,9,2016.0,2024.0,False,False
Hedycarya angustifolia,Flora,Native Mulberry,Not Listed,Not Listed,9,1918.0,2010.0,False,False
Lastreopsis acuminata,Flora,Shiny Shield Fern,Not Listed,Not Listed,9,1970.0,2016.0,False,False
Litoria peronii,Amphibia,Peron's Tree Frog,Not Listed,Not Listed,9,2018.0,2022.0,False,False
Pseudechis porphyriacus,Reptilia,Red-bellied Black Snake,Not Listed,Not Listed,9,2013.0,2021.0,False,False
Tylophora barbata,Flora,Bearded Tylophora,Not Listed,Not Listed,9,1970.0,2016.0,False,False
Coprosma quadrifida,Flora,Prickly Currant Bush,Not Listed,Not Listed,8,1990.0,2016.0,False,False
Cyathea australis,Flora,Rough Treefern,Not Listed,Not Listed,8,1990.0,2016.0,False,False
Fauna sp.,Unknown,Unidentified Fauna,Not Listed,Not Listed,8,2014.0,2024.0,False,False
Leucosarcia melanoleuca,Aves,Wonga Pigeon,Not Listed,Not Listed,8,1992.0,2021.0,False,False
Rubus nebulosus,Flora,Green-leaved Bramble,Not Listed,Not Listed,8,1970.0,2016.0,False,False
Hydrocotyle acutiloba,Flora,,Not Listed,Not Listed,7,1990.0,2001.0,False,False
Parsonsia straminea,Flora,Common Silkpod,Not Listed,Not Listed,7,1970.0,2016.0,False,False
Cacatua sanguinea,Aves,Little Corella,Not Listed,Not Listed,6,2021.0,2025.0,False,False
Dendrobium pugioniforme,Flora,Dagger Orchid,Not Listed,Not Listed,6,1970.0,2010.0,False,False
Elaeocarpus holopetalus,Flora,Black Olive Berry,Not Listed,Not Listed,6,1970.0,1990.0,False,False
Eopsaltria australis,Aves,Eastern Yellow Robin,Not Listed,Not Listed,6,1992.0,2024.0,False,False
Eucryphia moorei,Flora,Pinkwood,Not Listed,Not Listed,6,1974.0,2010.0,False,False
Hedera helix,Flora,English Ivy,Not Listed,Not Listed,6,1970.0,2023.0,False,False
Manorina melanocephala,Aves,Noisy Miner,Not Listed,Not Listed,6,2013.0,2025.0,False,False
Ninox novaeseelandiae,Aves,Southern Boobook,Not Listed,Not Listed,6,1992.0,2025.0,False,False
Phytolacca octandra,Flora,Inkweed,Not Listed,Not Listed,6,1970.0,2023.0,False,False
Rubus rosifolius,Flora,Rose-leaf Bramble,Not Listed,Not Listed,6,1990.0,2016.0,False,False
Sericornis frontalis,Aves,White-browed Scrubwren,Not Listed,Not Listed,6,1992.0,2010.0,False,False
Stenocarpus salignus,Flora,Scrub Beefwood,Not Listed,Not Listed,6,1970.0,2016.0,False,False
Synoum glandulosum subsp. glandulosum,Flora,Scentless Rosewood,Not Listed,Not Listed,6,1970.0,2016.0,False,False
Asplenium australasicum,Flora,Bird's Nest Fern,Not Listed,Not Listed,5,1990.0,2010.0,False,False
Blechnum patersonii,Flora,Strap Water Fern,Not Listed,Not Listed,5,1989.0,2016.0,False,False
Chelodina longicollis,Reptilia,Eastern Snake-necked Turtle,Not Listed,Not Listed,5,1992.0,2022.0,False,False
Clematis aristata,Flora,Old Man's Beard,Not Listed,Not Listed,5,1990.0,2016.0,False,False
Grallina cyanoleuca,Aves,Magpie-lark,Not Listed,Not Listed,5,1992.0,2021.0,False,False
Gynochthodes jasminoides,Flora,Sweet Morinda,Not Listed,Not Listed,5,1970.0,2016.0,False,False
Meliphaga lewinii,Aves,Lewin's Honeyeater,Not Listed,Not Listed,5,2002.0,2025.0,False,False
Oryctolagus cuniculus,Mammalia,Rabbit,Not Listed,Not Listed,5,2010.0,2024.0,False,False
Rubus anglocandicans,Flora,Blackberry,Not Listed,Not Listed,5,1917.0,1990.0,False,False
Trichoglossus haematodus,Aves,Rainbow Lorikeet,Not Listed,Not Listed,5,2014.0,2024.0,False,False
Zosterops lateralis,Aves,Silvereye,Not Listed,Not Listed,5,2003.0,2024.0,False,False
Anas superciliosa,Aves,Pacific Black Duck,Not Listed,Not Listed,4,2003.0,2024.0,False,False
Carex appressa,Flora,Tall Sedge,Not Listed,Not Listed,4,1990.0,2003.0,False,False
Cervus sp.,Mammalia,Unidentified Deer,Not Listed,Not Listed,4,1980.0,2004.0,False,False
Colluricincla harmonica,Aves,Grey Shrike-thrush,Not Listed,Not Listed,4,1992.0,2017.0,False,False
Cracticus torquatus,Aves,Grey Butcherbird,Not Listed,Not Listed,4,2003.0,2023.0,False,False
Fieldia australis,Flora,,Not Listed,Not Listed,4,1970.0,1990.0,False,False
Marsdenia spp.,Flora,,Not Listed,Not Listed,4,2001.0,2010.0,False,False
Microsorum pustulatum subsp. pustulatum,Flora,,Not Listed,Not Listed,4,1976.0,1982.0,False,False
Passer domesticus,Aves,House Sparrow,Not Listed,Not Listed,4,1992.0,2025.0,False,False
Podargus strigoides,Aves,Tawny Frogmouth,Not Listed,Not Listed,4,2016.0,2021.0,False,False
Prunus laurocerasus,Flora,Cherry Laurel,Not Listed,Not Listed,4,1983.0,2010.0,False,False
Acanthiza pusilla,Aves,Brown Thornbill,Not Listed,Not Listed,3,1996.0,2004.0,False,False
Accipiter fasciatus,Aves,Brown Goshawk,Not Listed,Not Listed,3,1989.0,2023.0,False,False
