layer,check,value,status
study_area,feature_count,1,OK
study_area,crs,EPSG:7856,OK
study_area,null_geometry,0,OK
study_area,invalid_geometry,0,OK
study_area,features_outside_reference_aoi,0,OK
context_aoi,feature_count,1,OK
context_aoi,crs,EPSG:7856,OK
context_aoi,null_geometry,0,OK
context_aoi,invalid_geometry,0,OK
context_aoi,features_outside_reference_aoi,0,OK
robertson_nature_reserve,feature_count,1,OK
robertson_nature_reserve,crs,EPSG:7856,OK
robertson_nature_reserve,null_geometry,0,OK
robertson_nature_reserve,invalid_geometry,0,OK
robertson_nature_reserve,features_outside_reference_aoi,0,OK
robertson_nature_reserve,area_ha,5.324,OK
protected_areas,feature_count,9,OK
protected_areas,crs,EPSG:7856,OK
protected_areas,null_geometry,0,OK
protected_areas,invalid_geometry,0,OK
protected_areas,features_outside_reference_aoi,0,OK
lga,feature_count,5,OK
lga,crs,EPSG:7856,OK
lga,null_geometry,0,OK
lga,invalid_geometry,0,OK
lga,features_outside_reference_aoi,0,OK
roads,feature_count,5125,OK
roads,crs,EPSG:7856,OK
roads,null_geometry,0,OK
roads,invalid_geometry,0,OK
roads,features_outside_reference_aoi,0,OK
phase2::study_area,feature_count,1,OK
phase2::study_area,crs,EPSG:7856,OK
phase2::study_area,null_geometry,0,OK
phase2::study_area,invalid_geometry,0,OK
phase2::robertson_nature_reserve,feature_count,1,OK
phase2::robertson_nature_reserve,crs,EPSG:7856,OK
phase2::robertson_nature_reserve,null_geometry,0,OK
phase2::robertson_nature_reserve,invalid_geometry,0,OK
phase2::native_vegetation,feature_count,13410,OK
phase2::native_vegetation,crs,EPSG:7856,OK
phase2::native_vegetation,null_geometry,0,OK
phase2::native_vegetation,invalid_geometry,0,OK
phase2::rainforest_extant,feature_count,2464,OK
phase2::rainforest_extant,crs,EPSG:7856,OK
phase2::rainforest_extant,null_geometry,0,OK
phase2::rainforest_extant,invalid_geometry,0,OK
phase2::wet_sclerophyll_extant,feature_count,5671,OK
phase2::wet_sclerophyll_extant,crs,EPSG:7856,OK
phase2::wet_sclerophyll_extant,null_geometry,0,OK
phase2::wet_sclerophyll_extant,invalid_geometry,0,OK
phase2::rainforest_preclear_modelled,feature_count,818,OK
phase2::rainforest_preclear_modelled,crs,EPSG:7856,OK
phase2::rainforest_preclear_modelled,null_geometry,0,OK
phase2::rainforest_preclear_modelled,invalid_geometry,0,OK
phase2::cleared_or_non_native,feature_count,1,OK
phase2::cleared_or_non_native,crs,EPSG:7856,OK
phase2::cleared_or_non_native,null_geometry,0,OK
phase2::cleared_or_non_native,invalid_geometry,0,OK
phase2::study_area,feature_count,1,OK
phase2::study_area,crs,EPSG:7856,OK
phase2::study_area,null_geometry,0,OK
phase2::study_area,invalid_geometry,0,OK
phase2::robertson_nature_reserve,feature_count,1,OK
phase2::robertson_nature_reserve,crs,EPSG:7856,OK
phase2::robertson_nature_reserve,null_geometry,0,OK
phase2::robertson_nature_reserve,invalid_geometry,0,OK
phase2::native_vegetation,feature_count,11490,OK
phase2::native_vegetation,crs,EPSG:7856,OK
phase2::native_vegetation,null_geometry,0,OK
phase2::native_vegetation,invalid_geometry,0,OK
phase2::rainforest_extant,feature_count,2464,OK
phase2::rainforest_extant,crs,EPSG:7856,OK
phase2::rainforest_extant,null_geometry,0,OK
phase2::rainforest_extant,invalid_geometry,0,OK
phase2::wet_sclerophyll_extant,feature_count,5671,OK
phase2::wet_sclerophyll_extant,crs,EPSG:7856,OK
phase2::wet_sclerophyll_extant,null_geometry,0,OK
phase2::wet_sclerophyll_extant,invalid_geometry,0,OK
phase2::rainforest_preclear_modelled,feature_count,818,OK
phase2::rainforest_preclear_modelled,crs,EPSG:7856,OK
phase2::rainforest_preclear_modelled,null_geometry,0,OK
phase2::rainforest_preclear_modelled,invalid_geometry,0,OK
phase2::cleared_or_non_native,feature_count,1,OK
phase2::cleared_or_non_native,crs,EPSG:7856,OK
phase2::cleared_or_non_native,null_geometry,0,OK
phase2::cleared_or_non_native,invalid_geometry,0,OK
phase3::study_area,feature_count,1,OK
phase3::study_area,crs,EPSG:7856,OK
phase3::study_area,null_geometry,0,OK
phase3::study_area,invalid_geometry,0,OK
phase3::robertson_nature_reserve,feature_count,1,OK
phase3::robertson_nature_reserve,crs,EPSG:7856,OK
phase3::robertson_nature_reserve,null_geometry,0,OK
phase3::robertson_nature_reserve,invalid_geometry,0,OK
phase3::analysis_grid,feature_count,8210,OK
