taxon_group,year,n_records,n_species
Actinopterygii,2014,1,1
Actinopterygii,2017,1,1
Actinopterygii,2023,1,1
Agaricomycetes,2010,7,7
Amphibia,-1,1,1
Amphibia,1907,1,1
Amphibia,1913,1,1
Amphibia,1967,1,1
Amphibia,1971,1,1
Amphibia,1992,14,9
Amphibia,1994,1,1
Amphibia,1995,6,5
Amphibia,1996,9,6
Amphibia,1997,1,1
Amphibia,1998,2,2
Amphibia,1999,10,7
Amphibia,2000,34,6
Amphibia,2001,55,7
Amphibia,2002,31,12
Amphibia,2003,55,16
Amphibia,2004,69,14
Amphibia,2005,25,9
Amphibia,2006,20,8
Amphibia,2008,1,1
Amphibia,2009,1,1
Amphibia,2010,4,3
Amphibia,2011,2,2
Amphibia,2012,30,13
Amphibia,2013,2,2
Amphibia,2014,36,10
Amphibia,2015,22,7
Amphibia,2016,34,12
Amphibia,2017,67,13
Amphibia,2018,157,14
Amphibia,2019,86,15
Amphibia,2020,173,16
Amphibia,2021,319,14
Amphibia,2022,177,12
Amphibia,2023,110,14
Amphibia,2024,2,2
Amphibia,2025,2,2
Arachnida,2013,2,2
Aves,1960,1,1
Aves,1963,30,17
Aves,1964,1,1
Aves,1965,3,3
Aves,1966,7,4
Aves,1967,20,5
Aves,1968,6,3
Aves,1969,4,4
Aves,1970,1,1
Aves,1971,1,1
Aves,1973,1,1
Aves,1974,2,2
Aves,1975,1,1
Aves,1977,1,1
Aves,1981,2,2
Aves,1982,6,1
Aves,1983,23,13
Aves,1984,45,12
Aves,1985,105,20
Aves,1986,55,25
Aves,1987,67,31
Aves,1988,94,64
Aves,1989,39,24
Aves,1990,17,10
Aves,1991,38,19
Aves,1992,104,67
Aves,1993,25,17
Aves,1994,49,35
Aves,1995,34,15
Aves,1996,78,41
Aves,1997,16,11
Aves,1998,79,53
Aves,1999,141,62
Aves,2000,7,3
Aves,2001,211,67
Aves,2002,253,88
Aves,2003,586,115
Aves,2004,363,107
Aves,2005,158,72
Aves,2006,324,95
Aves,2007,16,10
Aves,2008,13,10
Aves,2009,24,21
Aves,2010,69,37
Aves,2011,83,43
Aves,2012,526,92
Aves,2013,151,80
Aves,2014,198,80
Aves,2015,410,105
Aves,2016,313,80
Aves,2017,317,80
Aves,2018,278,76
Aves,2019,321,61
Aves,2020,456,51
Aves,2021,391,54
Aves,2022,333,66
Aves,2023,813,116
Aves,2024,328,100
Aves,2025,415,97
Aves,2026,101,54
Bryopsida,2017,2,2
Chilopoda,2013,2,2
Flora,-1,70,59
Flora,1900,24,23
Flora,1901,2,2
Flora,1903,3,3
Flora,1904,2,1
Flora,1905,30,27
Flora,1906,2,2
Flora,1909,5,5
Flora,1910,1,1
Flora,1911,3,3
Flora,1912,2,2
Flora,1914,3,3
Flora,1915,9,9
Flora,1917,10,10
Flora,1918,45,40
Flora,1919,8,8
Flora,1920,12,12
Flora,1921,3,3
Flora,1922,3,3
Flora,1923,2,2
Flora,1924,4,4
Flora,1925,6,6
Flora,1927,1,1
Flora,1928,3,3
Flora,1930,27,27
Flora,1931,1,1
Flora,1932,8,8
Flora,1933,4,4
Flora,1934,11,11
Flora,1935,1,1
Flora,1936,3,3
Flora,1938,8,8
Flora,1939,14,14
Flora,1940,5,5
Flora,1941,11,11
Flora,1942,15,15
Flora,1943,24,24
Flora,1944,3,3
Flora,1945,1,1
Flora,1946,8,7
Flora,1947,3,3
Flora,1948,76,70
Flora,1949,9,9
Flora,1950,47,42
Flora,1951,28,27
Flora,1952,23,23
Flora,1953,99,82
Flora,1954,38,38
Flora,1955,52,48
Flora,1956,32,31
Flora,1957,11,11
Flora,1958,6,6
Flora,1959,29,26
Flora,1960,18,17
Flora,1961,13,12
Flora,1962,33,32
Flora,1963,13,13
Flora,1964,65,52
Flora,1965,66,63
Flora,1966,92,83
Flora,1967,75,62
Flora,1968,60,55
Flora,1969,57,54
Flora,1970,395,158
Flora,1971,31,30
Flora,1972,9,8
Flora,1973,62,59
Flora,1974,206,128
Flora,1975,41,36
Flora,1976,38,32
Flora,1977,47,45
Flora,1978,83,72
Flora,1979,45,41
Flora,1980,39,33
Flora,1981,39,35
Flora,1982,81,65
Flora,1983,597,448
Flora,1984,60,51
Flora,1985,70,59
Flora,1986,58,52
Flora,1987,236,191
Flora,1988,68,65
Flora,1989,176,106
Flora,1990,808,209
Flora,1991,50,50
Flora,1992,124,108
Flora,1993,102,87
Flora,1994,50,49
Flora,1995,74,72
Flora,1996,85,72
Flora,1997,33,33
Flora,1998,97,79
Flora,1999,1751,446
Flora,2000,799,284
Flora,2001,3910,645
Flora,2002,759,286
Flora,2003,359,221
Flora,2004,157,129
Flora,2005,388,279
Flora,2006,579,210
Flora,2007,320,233
Flora,2008,271,116
Flora,2009,94,92
Flora,2010,387,273
Flora,2011,144,103
Flora,2012,862,312
Flora,2013,153,121
Flora,2014,70,69
Flora,2015,1532,402
Flora,2016,697,267
Flora,2017,856,417
Flora,2018,327,179
Flora,2019,368,113
Flora,2020,298,225
Flora,2021,179,96
Flora,2022,587,221
Flora,2023,71,51
Flora,2024,1463,352
Flora,2025,293,190
Flora,2026,5,3
Fungi,2010,4,4
Gastropoda,2013,3,3
Gastropoda,2024,1,1
Insecta,1990,1,1
Insecta,1997,1,1
Insecta,2007,2,2
Insecta,2008,7,7
Insecta,2010,13,9
Insecta,2013,8,8
Insecta,2014,2,1
Insecta,2015,1,1
Insecta,2016,1,1
Insecta,2017,100,58
Insecta,2019,10,5
Insecta,2020,4,1
Insecta,2021,11,8
Insecta,2022,1,1
Insecta,2025,4,4
Malacostraca,2012,2,2
Malacostraca,2014,1,1
Malacostraca,2022,1,1
Mammalia,1968,1,1
Mammalia,1970,4,1
Mammalia,1973,1,1
Mammalia,1977,2,1
Mammalia,1978,4,1
Mammalia,1980,46,8
Mammalia,1982,2,1
Mammalia,1985,1,1
Mammalia,1986,1,1
Mammalia,1988,12,12
Mammalia,1990,6,4
Mammalia,1991,7,6
Mammalia,1992,9,8
Mammalia,1993,19,4
Mammalia,1994,2,2
Mammalia,1995,4,4
Mammalia,1996,3,2
Mammalia,1997,2,2
Mammalia,1998,2,2
Mammalia,1999,103,26
Mammalia,2000,2,2
Mammalia,2001,43,16
Mammalia,2002,121,25
Mammalia,2003,274,43
Mammalia,2004,368,23
Mammalia,2005,17,10
Mammalia,2006,80,22
Mammalia,2008,4,3
Mammalia,2009,16,6
Mammalia,2010,10,6
Mammalia,2011,35,13
Mammalia,2012,120,31
Mammalia,2013,94,16
Mammalia,2014,492,43
Mammalia,2015,672,42
Mammalia,2016,1670,42
Mammalia,2017,3357,35
Mammalia,2018,2610,50
Mammalia,2019,2763,42
Mammalia,2020,2198,33
Mammalia,2021,2984,34
Mammalia,2022,2290,30
Mammalia,2023,2662,56
Mammalia,2024,950,34
Mammalia,2025,158,20
Mammalia,2026,1,1
Reptilia,1967,1,1
Reptilia,1988,3,3
Reptilia,1992,9,9
Reptilia,1995,1,1
Reptilia,1997,5,4
Reptilia,1998,7,6
Reptilia,1999,5,5
Reptilia,2001,3,3
Reptilia,2002,67,14
Reptilia,2003,120,21
Reptilia,2004,34,12
Reptilia,2005,10,6
Reptilia,2006,46,22
Reptilia,2009,4,2
