scientificName,vernacularName,stateConservation,countryConservation,n_records,year_min,year_max,is_sensitive
Potorous tridactylus trisulcatus,Southern long-nosed potoroo,Vulnerable,Vulnerable,4157,1970,2024,False
Phascolarctos cinereus,Koala,Endangered,Endangered,1341,1977,2026,False
Dasyurus maculatus,Spotted-tailed Quoll,Vulnerable,Endangered,1031,1968,2025,False
Persoonia glaucescens,Mittagong Geebung,Vulnerable,Vulnerable,366,1970,2024,False
Grevillea rivularis,Carrington Falls Grevillea,Critically Endangered,Critically Endangered,286,1950,2026,False
Petauroides volans,Southern Greater Glider,Endangered,Endangered,238,1991,2025,False
Cercartetus nanus,Eastern Pygmy-possum,Vulnerable,Not Listed,175,1992,2024,False
Solanum celatum,,Endangered,Not Listed,139,1934,2023,False
Callocephalon fimbriatum,Gang-gang Cockatoo,Endangered,Endangered,112,1988,2025,True
Eucalyptus macarthurii,Paddy's River Box,Endangered,Endangered,81,1900,2024,False
Irenepharsus trypherus,Illawarra Irene,Endangered,Endangered,60,1943,2020,False
Persoonia oxycoccoides,,Endangered,Endangered,55,1900,2026,False
Daphnandra johnsonii,Illawarra Socketwood,Endangered,Endangered,51,1953,2024,False
Dasyornis brachypterus,Eastern Bristlebird,Endangered,Endangered,43,1988,2026,True
Lysimachia vulgaris var. davurica,Yellow Loosestrife,Endangered,Not Listed,41,1969,2024,True
Calyptorhynchus lathami lathami,South-eastern Glossy Black-Cockatoo,Vulnerable,Vulnerable,40,2014,2024,True
Pteropus poliocephalus,Grey-headed Flying-fox,Vulnerable,Vulnerable,35,2001,2025,False
Ninox strenua,Powerful Owl,Vulnerable,Not Listed,35,1986,2025,True
Boronia deanei,Deane's Boronia,Vulnerable,Vulnerable,28,1965,2024,False
Artamus cyanopterus cyanopterus,Dusky Woodswallow,Vulnerable,Not Listed,27,1994,2026,False
Pycnoptilus floccosus,Pilotbird,Vulnerable,Vulnerable,27,1992,2020,False
Pomaderris walshii,Carrington Falls Pomaderris,Critically Endangered,Critically Endangered,26,2001,2025,True
Pterostylis pulchella,Waterfall Greenhood,Vulnerable,Vulnerable,25,1932,2025,True
Thelymitra kangaloonica,Kangaloon Sun Orchid,Critically Endangered,Critically Endangered,24,1969,2025,True
Gentiana wingecarribiensis,Wingecarribee Gentian,Critically Endangered,Endangered,23,1967,1999,True
Litoria watsoni,Watson's Tree Frog,Endangered,Endangered,22,1913,2020,False
Pezoporus wallicus wallicus,Eastern Ground Parrot,Vulnerable,Not Listed,21,1986,2026,True
Rhodamnia rubescens,Scrub Turpentine,Critically Endangered,Critically Endangered,20,1942,2020,False
Daphoenositta chrysoptera,Varied Sittella,Vulnerable,Not Listed,19,1992,2022,False
Prasophyllum fuscum,Slaty Leek Orchid,Critically Endangered,Vulnerable,17,1946,2022,True
Tyto tenebricosa,Sooty Owl,Vulnerable,Not Listed,17,2002,2024,True
Falsistrellus tasmaniensis,Eastern False Pipistrelle,Vulnerable,Not Listed,15,2002,2023,False
Petroica boodang,Scarlet Robin,Vulnerable,Not Listed,14,1999,2025,False
Haliaeetus leucogaster,White-bellied Sea-Eagle,Vulnerable,Not Listed,13,2003,2026,False
Mixophyes balbus,Stuttering Frog,Endangered,Vulnerable,10,2000,2009,True
Miniopterus orianae oceanensis,Large Bent-winged Bat,Vulnerable,Not Listed,9,1999,2023,False
Petalura gigantea,Giant Dragonfly,Endangered,Not Listed,8,1990,2021,False
Myotis macropus,Southern Myotis,Vulnerable,Not Listed,7,2002,2018,False
Isoodon obesulus obesulus,Southern Brown Bandicoot (eastern),Endangered,Endangered,7,1993,2022,False
Pultenaea elusa,Elusive Bush-pea,Critically Endangered,Endangered,7,2024,2025,True
Pseudophryne australis,Red-crowned Toadlet,Vulnerable,Not Listed,6,2003,2023,False
Hieraaetus morphnoides,Little Eagle,Vulnerable,Not Listed,6,1998,2016,False
Heleioporus australiacus,Giant Burrowing Frog,Vulnerable,Vulnerable,6,2001,2017,False
Neophema pulchella,Turquoise Parrot,Vulnerable,Not Listed,6,2002,2006,True
Scoteanax rueppellii,Greater Broad-nosed Bat,Vulnerable,Not Listed,5,1999,2023,False
Botaurus poiciloptilus,Australasian Bittern,Endangered,Endangered,4,1991,2015,False
Helichrysum calvertianum,,Vulnerable,Vulnerable,4,1970,2010,False
Pachycephala olivacea,Olive Whistler,Vulnerable,Not Listed,4,1986,2001,False
Zieria granulata,Illawarra Zieria,Endangered,Endangered,4,1953,2004,False
Chalinolobus dwyeri,Large-eared Pied Bat,Endangered,Endangered,3,2012,2023,False
Hoplocephalus bungaroides,Broad-headed Snake,Endangered,Endangered,3,2018,2019,True
Petroica phoenicea,Flame Robin,Vulnerable,Not Listed,3,1989,2013,False
Litoria littlejohni,Littlejohn's Tree Frog,Endangered,Endangered,3,2016,2023,False
Hirundapus caudacutus,White-throated Needletail,Vulnerable,Vulnerable,3,1992,2003,False
Miniopterus australis,Little Bent-winged Bat,Vulnerable,Not Listed,3,2014,2023,False
Lophoictinia isura,Square-tailed Kite,Vulnerable,Not Listed,2,2003,2016,True
Xerochrysum palustre,Swamp Everlasting,Not Listed,Vulnerable,2,2001,2024,False
Brachyscome mittagongensis,,Endangered,Not Listed,2,2017,2023,False
Acacia baueri subsp. aspera,,Endangered,Endangered,2,1969,2023,False
Acacia bynoeana,Bynoe's Wattle,Endangered,Vulnerable,2,2021,2024,False
Petaurus norfolcensis,Squirrel Glider,Vulnerable,Not Listed,2,1999,2022,False
Tyto novaehollandiae,Masked Owl,Vulnerable,Not Listed,2,1975,2024,True
Lathamus discolor,Swift Parrot,Endangered,Critically Endangered,2,2012,2020,False
Caretta caretta,Loggerhead Turtle,Endangered,Endangered,1,2015,2015,False
Arthropteris palisotii,Lesser Creeping Fern,Endangered,Not Listed,1,2005,2005,True
Amperea xiphoclada var. pedicellata,,Extinct,Extinct,1,2006,2006,False
Cynanchum elegans,White-flowered Wax Plant,Endangered,Endangered,1,2001,2001,False
Cryptostylis hunteriana,Leafless Tongue Orchid,Vulnerable,Vulnerable,1,2003,2003,True
Climacteris picumnus victoriae,Brown Treecreeper (eastern subspecies),Vulnerable,Vulnerable,1,2012,2012,False
Circus assimilis,Spotted Harrier,Vulnerable,Not Listed,1,2013,2013,False
Isopogon prostratus,Prostrate Cone-bush,Endangered,Not Listed,1,1962,1962,False
Parvipsitta pusilla,Little Lorikeet,Vulnerable,Not Listed,1,1994,1994,False
Litoria aurea,Green and Golden Bell Frog,Endangered,Vulnerable,1,1971,1971,False
Micronomus norfolkensis,Eastern Coastal Free-tailed Bat,Vulnerable,Not Listed,1,2015,2015,False
Persicaria elatior,Tall Knotweed,Vulnerable,Vulnerable,1,1969,1969,False
Petrogale penicillata,Brush-tailed Rock-wallaby,Endangered,Vulnerable,1,2025,2025,False
Pseudomys novaehollandiae,New Holland Mouse,Vulnerable,Vulnerable,1,2003,2003,False
Pultenaea aristata,Prickly Bush-pea,Vulnerable,Vulnerable,1,1995,1995,False
Saccolaimus flaviventris,Yellow-bellied Sheathtail-bat,Vulnerable,Not Listed,1,2023,2023,False
Rhodomyrtus psidioides,Native Guava,Critically Endangered,Critically Endangered,1,2011,2011,False
Syzygium paniculatum,Magenta Lilly Pilly,Vulnerable,Vulnerable,1,2011,2011,False
Senecio linearifolius var. dangarensis,,Endangered,Not Listed,1,2007,2007,False
