Unit_Name,area_ha
Hawkesbury Sandstone,19066.28721746984
Bringelly Shale,14099.432922493255
Broughton Formation,4677.562872563004
Ashfield Shale,4093.870928443379
Illawarra Coal Measures,2783.3249744494224
Kangaloon Sandstone,1500.2088986106735
Berry Siltstone,1259.0587299525903
Wianamatta Group,862.5152607372553
Narrabeen Group,572.255998515695
Mittagong Formation,371.4766085540844
Minnamurra Latite Member,296.84782589000594
Cambewarra Latite Member,208.0827091253614
Bumbo Latite Member,178.20807587034662
Coal Cliff Sandstone,82.86077271286553
Saddleback Latite Member,45.7258146391387
Dapto Latite Member,35.171312793165434
Wombarra Claystone,34.60136199100171
Wallaya Dolerite,0.12956106553537172
