NAME,area_ha
Barren Grounds,9660.904632761394
Wildes Meadow,7137.673942315729
Robertson,6184.977022707639
Cambewarra,4661.9994564688695
Maddens Plains,4124.78712107293
Hawkesbury,3699.4117185650884
Illawarra Escarpment,3368.614261319685
Lucas Heights,1929.3732505309988
Wattamolla Road,1289.5909686073894
Wingecarribee,1107.221855199323
Barrengarry,914.604062399382
Ellerslie,383.18442295607093
Fairy Meadow,364.4907979834002
Warragamba,120.39792434394386
Disturbed Terrain,49.041099269390536
Albion Park,9.016534992648122
