field,in_master_grid
cell_id,True
cell_area_ha,True
dist_to_stream_m,True
riparian_50m,True
riparian_100m,True
interpretation_water,True
elev_m,True
slope_deg,True
aspect_deg,True
soil_landscape,True
geology_unit,True
bushfire_category,True
interpretation,True
dist_to_protected_m,True
near_protected,True
dist_to_reserve_m,True
near_reserve,True
dist_to_core_m,True
near_core,True
on_core,True
on_cleared,True
riparian_gap,True
patch_gap_edge,True
dist_to_isolated_core_m,True
isolated_patch_context,True
on_crown_land,True
on_public_land,True
on_basalt_volcanic,True
plantable_slope,True
n_records,True
n_species,True
year_min,True
year_max,True
animal_n_records,True
animal_n_species,True
animal_year_min,True
animal_year_max,True
plant_n_records,True
plant_n_species,True
plant_year_min,True
plant_year_max,True
threat_n_records,True
threat_n_species,True
threat_year_min,True
threat_year_max,True
