layer,features,crs,geometry_types
study_area,1,EPSG:7856,Polygon
context_aoi,1,EPSG:7856,MultiPolygon
robertson_nature_reserve,1,EPSG:7856,MultiPolygon
protected_areas,9,EPSG:7856,MultiPolygon
lga,5,EPSG:7856,MultiPolygon
roads,5125,EPSG:7856,LineString
native_vegetation,11490,EPSG:7856,MultiPolygon
rainforest_extant,2464,EPSG:7856,MultiPolygon
wet_sclerophyll_extant,5671,EPSG:7856,MultiPolygon
rainforest_preclear_modelled,818,EPSG:7856,MultiPolygon
cleared_or_non_native,1,EPSG:7856,MultiPolygon
species_observations_clean,57696,EPSG:7856,Point
threatened_species_aggregated,953,EPSG:7856,Polygon
habitat_patches,702,EPSG:7856,Polygon
core_habitat_patches,784,EPSG:7856,Polygon
rainforest_patches,481,EPSG:7856,Polygon
roads_barriers,2033,EPSG:7856,MultiLineString
hydro_lines,2966,EPSG:7856,MultiLineString
hydro_areas,1108,EPSG:7856,Polygon
named_watercourses,61,EPSG:7856,MultiLineString
riparian_buffers,2,EPSG:7856,MultiPolygon
soil_landscapes,88,EPSG:7856,MultiPolygon
geology_rock_units,126,EPSG:7856,MultiPolygon
bushfire_prone_land,424,EPSG:7856,MultiPolygon
component_polygons,6,EPSG:7856,MultiPolygon
crown_land,823,EPSG:7856,MultiPolygon
analysis_grid_metrics,8210,EPSG:7856,Polygon
